iata_code,icao_code,ident,name,municipality,iso_country,continent,latitude_deg,longitude_deg,type,scheduled_service
UTK,,03N,Utirik Airport,Utirik Island,MH,OC,11.222219,169.851429,small_airport,yes
OCA,,07FA,Ocean Reef Club Airport,Key Largo,US,NA,25.325399,-80.274803,medium_airport,no
CSE,,0CO2,Crested Butte Airpark,Crested Butte,US,NA,38.851918,-106.928341,small_airport,no
CUS,,0NM0,Columbus Airport,Columbus,US,NA,31.823898,-107.629924,small_airport,no
JCY,,0TE7,LBJ Ranch Airport,Stonewall,US,NA,30.251801,-98.622498,small_airport,no
WLR,,13Z,Loring Seaplane Base,Loring,US,NA,55.601299,-131.636993,seaplane_base,no
NUP,PPIT,16A,Nunapitchuk Airport,Nunapitchuk,US,NA,60.905591,-162.440454,small_airport,yes
PTC,,16K,Port Alice Seaplane Base,Port Alice,US,NA,55.803,-133.597,seaplane_base,no
ICY,,19AK,Icy Bay Airport,Icy Bay,US,NA,59.966269,-141.660118,small_airport,no
PPV,,19P,Port Protection Seaplane Base,Port Protection,US,NA,56.3288,-133.610001,seaplane_base,yes
KKK,,1KC,Kalakaket Creek AS Airport,Kalakaket Creek,US,NA,64.4166256967,-156.820392609,small_airport,no
MHS,,1O6,Dunsmuir Muni-Mott Airport,Dunsmuir,US,NA,41.263199,-122.272003,small_airport,no
NIR,,1XA2,Chase Field Industrial Airport,Beeville,US,NA,28.362444,-97.661917,small_airport,no
GCT,,1Z1,Grand Canyon Bar Ten Airstrip,Littlefield,US,NA,36.257984,-113.231063,small_airport,no
ELW,,1Z9,Ellamar Seaplane Base,Ellamar,US,NA,60.893818,-146.704038,seaplane_base,no
LVD,,2AK,Lime Village Airport,Lime Village,US,NA,61.3591003418,-155.440002441,small_airport,no
HGZ,,2AK6,Hog River Airport,Hogatza,US,NA,66.176133,-155.684816,small_airport,no
OTN,,2IG4,Ed-Air Airport,Oaktown,US,NA,38.851782,-87.49987,small_airport,no
TLF,,2K5,Telida Airport,Telida,US,NA,63.393902,-153.268997,small_airport,no
BZT,,2TE0,Eagle Air Park,Brazoria,US,NA,28.982200622559,-95.579696655273,small_airport,no
HBH,,2Z1,Entrance Island Seaplane Base,Entrance Island,US,NA,57.412201,-133.43848,seaplane_base,no
FAK,,2Z6,False Island Seaplane Base,False Island,US,NA,57.5321998596,-135.212997437,seaplane_base,no
BYW,,38WA,Blakely Island Airport,Blakely Island,US,NA,48.579162,-122.823844,small_airport,yes
DRF,,3AK5,Drift River Airport,Kenai,US,NA,60.588901519800004,-152.162002563,small_airport,no
BDF,,3IS8,Rinkenberger Restricted Landing Area,Bradford,US,NA,41.230899810800004,-89.61569976810001,small_airport,no
TEH,,3T4,Tetlin Airport,Tetlin,US,NA,63.124618,-142.518005,small_airport,no
VRS,,3VS,Roy Otten Memorial Airfield,Versailles,US,NA,38.427799224854,-92.875198364258,small_airport,no
GDH,,3Z8,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,NA,59.7470016479,-158.875,seaplane_base,no
ATT,,4A2,Atmautluak Airport,Atmautluak,US,NA,60.866699,-162.272996,small_airport,yes
LIV,,4AK,Livengood Camp Airport,Livengood,US,NA,65.467,-148.6534,small_airport,no
PDB,,4K0,Pedro Bay Airport,Pedro Bay,US,NA,59.796925,-154.129994,small_airport,yes
KOZ,,4K5,Ouzinkie Airport,Ouzinkie,US,NA,57.942094,-152.464314,small_airport,yes
TNK,,4KA,Tununak Airport,Tununak,US,NA,60.569638,-165.246649,small_airport,yes
WHD,,4Z7,Hyder Seaplane Base,Hyder,US,NA,55.903324,-130.009975,seaplane_base,yes
MNT,,51Z,Minto Al Wright Airport,Minto,US,NA,65.147991,-149.368658,small_airport,yes
TKI,,57A,Tokeen Seaplane Base,Tokeen,US,NA,55.937099,-133.326996,seaplane_base,no
WKK,,5A8,Aleknagik / New Airport,Aleknagik,US,NA,59.2826004028,-158.617996216,medium_airport,yes
WFB,,5KE,Ketchikan Harbor Seaplane Base,Ketchikan,US,NA,55.349899,-131.677002,seaplane_base,yes
RFK,,5MS1,Rollang Field,Rolling Fork,US,NA,32.953543,-90.845144,small_airport,no
NNK,,5NK,Naknek Airport,Naknek,US,NA,58.735633,-157.02216,small_airport,no
BKF,,5Z9,Lake Brooks Seaplane Base,Katmai National Park,US,NA,58.554798,-155.776993,seaplane_base,yes
BCS,,65LA,Southern Seaplane Airport,Belle Chasse,US,NA,29.866078,-90.021608,small_airport,no
MMN,,6B6,Minute Man Air Field,Stow,US,NA,42.460298,-71.519031,small_airport,no
SPQ,,6CA3,Catalina Air-Sea Terminal Heliport,San Pedro,US,NA,33.7491989136,-118.275001526,heliport,no
TSS,,6N5,East 34th Street Heliport,New York,US,NA,40.742372,-73.972074,heliport,yes
NYS,,6N7,New York Skyports Inc Seaplane Base,New York,US,NA,40.735061,-73.972814,seaplane_base,yes
WYB,,78K,Yes Bay Lodge Seaplane Base,Yes Bay,US,NA,55.916302,-131.800995,seaplane_base,no
CWS,,78WA,Center Island Airport,Center Island,US,NA,48.490046,-122.831612,small_airport,yes
TEK,PAKA,7KA,Tatitlek Airport,Tatitlek,US,NA,60.871449,-146.690297,small_airport,yes
DUF,,7NC2,Pine Island Airport,Corolla,US,NA,36.252744,-75.785256,small_airport,no
SSW,,7WA5,Stuart Island Airpark,Friday Harbor,US,NA,48.673379,-123.175439,small_airport,yes
FOB,,82CL,Fort Bragg Airport,Fort Bragg,US,NA,39.472445,-123.795319,small_airport,no
PUL,,83Q,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,US,NA,47.734001159668,-122.64700317383,seaplane_base,no
CCD,,84CL,Century City Heliport,Los Angeles,US,NA,34.061015,-118.417344,heliport,no
WMK,,84K,Meyers Chuck Seaplane Base,Meyers Chuck,US,NA,55.739601,-132.255005,seaplane_base,no
AXB,,89NY,Maxson Airfield,Alexandria Bay,US,NA,44.312002,-75.90034,small_airport,no
REE,,8XS8,Reese Airpark,Lubbock,US,NA,33.590301513672,-102.03700256348,small_airport,no
WDN,,90WA,Waldron Airstrip,Eastsound,US,NA,48.71141,-123.018208,small_airport,yes
WWP,,96Z,Whale Pass Seaplane Float Harbor Facility,Whale Pass,US,NA,56.116299,-133.121994,seaplane_base,yes
CHU,PACH,9A3,Chuathbaluk Airport,Chuathbaluk,US,NA,61.579102,-159.216003,small_airport,yes
UGS,,9A8,Ugashik Airport,Ugashik,US,NA,57.523476,-157.396344,small_airport,no
JID,,9CA3,Recreation and Conference Center Heliport,City of Industry,US,NA,34.020472,-117.927396,heliport,no
PSQ,,9N2,Philadelphia Seaplane Base,Essington,US,NA,39.859001159668,-75.299598693848,seaplane_base,no
KLL,,9Z8,Levelock Airport,Levelock,US,NA,59.12606,-156.860906,small_airport,no
SGW,,A23,Saginaw Seaplane Base,Saginaw Bay,US,NA,56.886299,-134.158005,seaplane_base,no
WTL,,A61,Tuntutuliak Airport,Tuntutuliak,US,NA,60.351243,-162.654476,small_airport,yes
TWA,,A63,Twin Hills Airport,Twin Hills,US,NA,59.074713,-160.274992,small_airport,yes
KCQ,,A79,Chignik Lake Airport,Chignik Lake,US,NA,56.255001,-158.774994,small_airport,yes
AAD,HCAD,AAD,Adado Airport,Adado,SO,AF,6.095802,46.6375,small_airport,no
ABP,,ABP,Atkamba Airport,Atkamba Mission,PG,OC,-6.06462,141.095173,small_airport,no
ACM,,ACM,Arica Airport,Arica,CO,SA,-2.143713,-71.75935,small_airport,no
ALV,,AD-ALV,Andorra la Vella Heliport,Escaldes-Engordany,AD,EU,42.511227,1.53365,heliport,no
ADV,,ADV,El Daein Airport,El Daein,SD,AF,11.4023,26.1186,small_airport,no
DST,,AE-0237,Dubai Seaplane Terminal,,AE,AS,25.263,55.272,seaplane_base,no
AEE,,AEE,Adareil Airport,Adar,SS,AF,10.053611,32.959444,small_airport,no
AEQ,,AEQ,Ar Horqin Airport,Chifeng,CN,AS,43.908407,120.15099,small_airport,no
AFK,,AFK,Kondavattavana Tank Seaplane Base,Ampara,LK,AS,7.284,81.644,seaplane_base,no
BBQ,TAPB,AG-0001,Burton-Nibbs International Airport,Codrington,AG,NA,17.621194,-61.798347,medium_airport,yes
AFT,AGAF,AGAF,Afutara Aerodrome,Bila,SB,OC,-9.191389,160.948611,small_airport,no
RNA,AGAR,AGAR,Ulawa Airport,Arona,SB,OC,-9.86054358262,161.979546547,small_airport,no
ATD,AGAT,AGAT,Uru Harbour Airport,Atoifi,SB,OC,-8.87333,161.011002,small_airport,no
VEV,AGBA,AGBA,Barakoma Airport,Barakoma,SB,OC,-7.912779808044434,156.70599365234375,small_airport,no
BPF,AGBT,AGBT,Batuna Aerodrome,Batuna Mission Station,SB,OC,-8.56202777778,158.119305556,small_airport,no
GEF,AGEV,AGEV,Geva Airport,Liangia,SB,OC,-7.575829982757568,156.5970001220703,small_airport,no
AGG,,AGG,Angoram Airport,Angoram,PG,OC,-4.057077,144.073841,small_airport,no
AKS,AGGA,AGGA,Gwaunaru'u Airport,Auki,SB,OC,-8.70257,160.682007,small_airport,yes
BNY,AGGB,AGGB,Bellona/Anua Airport,Anua,SB,OC,-11.302222222200001,159.798333333,small_airport,yes
CHY,AGGC,AGGC,Choiseul Bay Airport,Choiseul Bay,SB,OC,-6.711944,156.396111,small_airport,yes
BAS,AGGE,AGGE,Ballalae Airport,Ballalae,SB,OC,-6.990745,155.886656,small_airport,yes
FRE,AGGF,AGGF,Fera/Maringe Airport,Fera Island,SB,OC,-8.1075,159.576996,small_airport,yes
HIR,AGGH,AGGH,Honiara International Airport,Honiara,SB,OC,-9.428,160.054993,large_airport,yes
MBU,AGGI,AGGI,Babanakira Airport,Mbambanakira,SB,OC,-9.7475,159.839005,small_airport,no
AVU,AGGJ,AGGJ,Avu Avu Airport,Avu Avu,SB,OC,-9.868333,160.410556,small_airport,no
IRA,AGGK,AGGK,Ngorangora Airport,Kirakira,SB,OC,-10.449700355500001,161.897994995,small_airport,yes
SCZ,AGGL,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,OC,-10.7203,165.794998,small_airport,yes
MUA,AGGM,AGGM,Munda Airport,Munda,SB,OC,-8.32797,157.263,medium_airport,yes
GZO,AGGN,AGGN,Nusatupe Airport,Gizo,SB,OC,-8.09778022766,156.863998413,small_airport,yes
MNY,AGGO,AGGO,Mono Airport,Stirling Island,SB,OC,-7.41694,155.565002,small_airport,yes
PRS,AGGP,AGGP,Parasi Airport,Parasi,SB,OC,-9.641670227050781,161.4250030517578,small_airport,no
RNL,AGGR,AGGR,Rennell/Tingoa Airport,Rennell Island,SB,OC,-11.55,160.062778,small_airport,yes
EGM,AGGS,AGGS,Sege Airport,Sege,SB,OC,-8.57889,157.876007,small_airport,no
NNB,AGGT,AGGT,Santa Ana Airport,Santa Ana Island,SB,OC,-10.847994,162.454108,small_airport,yes
RUS,AGGU,AGGU,Marau Airport,Marau,SB,OC,-9.86167,160.824997,small_airport,yes
VAO,AGGV,AGGV,Suavanao Airport,Suavanao,SB,OC,-7.58556,158.731003,small_airport,yes
XYA,AGGY,AGGY,Yandina Airport,Yandina,SB,OC,-9.092816,159.21841,small_airport,yes
AGK,,AGK,Kagua Airport,Kagua,PG,OC,-6.396388888890001,143.853611111,small_airport,no
KGE,AGKG,AGKG,Kaghau Airport,Kagau Island,SB,OC,-7.3305,157.585,small_airport,yes
KUE,AGKU,AGKU,Kukudu Airport,Kolombangara Island,SB,OC,-8.0262,156.94783,small_airport,no
KWS,AGKW,AGKW,Kwailabesi Airport,Kwailabesi,SB,OC,-8.360508,160.775127,small_airport,no
LLM,AGLM,AGLM,Lomlom Airport,Lomlom,SB,OC,-10.296828,166.327322,small_airport,no
NAZ,AGNA,AGNA,Nana Airport,Star Harbor,SB,OC,-10.6758,162.2049,small_airport,no
MHM,AGOB,AGOB,Manaoba Airport,Manaoba,SB,OC,-8.325008,160.80051,small_airport,yes
GTA,AGOK,AGOK,Gatokae Aerodrome,Gatokae,SB,OC,-8.738358,158.202836,small_airport,yes
RIN,AGRC,AGRC,Ringi Cove Airport,Ringi Cove,SB,OC,-8.12639045715332,157.14300537109375,small_airport,no
RBV,AGRM,AGRM,Ramata Airport,Ramata,SB,OC,-8.168060302734375,157.64300537109375,small_airport,yes
TLG,AGTI,AGTI,Tulaghi Heliport,Tulaghi Island,SB,OC,-9.108,160.149166667,heliport,no
AHY,,AHY,Ambatolhy Airport,Ambatolahy,MG,AF,-20.015833333299998,45.535,small_airport,no
AIC,,AIP,Ailinglaplap Airok Airport,Bigatyelang Island,MH,OC,7.279422,168.8257,small_airport,no
CEX,,AK13,Chena Hot Springs Airport,Chena Hot Springs,US,NA,65.0518035889,-146.04699707,small_airport,no
SOL,,AK26,Solomon State Field,Solomon,US,NA,64.5605,-164.4457,small_airport,no
HED,,AK33,Herendeen Bay Airport,Herendeen Bay,US,NA,55.802346,-160.901346,small_airport,no
TWE,,AK49,Taylor Airport,Taylor,US,NA,65.6792984009,-164.798995972,small_airport,no
KTH,,AK56,Tikchik Lodge Seaplane Base,Tikchik,US,NA,59.9631996155,-158.477005005,seaplane_base,no
NKI,,AK62,Naukati Bay Seaplane Base,Tuxekan Island,US,NA,55.849602,-133.227994,seaplane_base,yes
CDL,,AK75,Candle 2 Airport,Candle,US,NA,65.907699585,-161.925994873,small_airport,no
AOS,,AK81,Amook Bay Seaplane Base,Amook Bay,US,NA,57.4715003967,-153.815002441,seaplane_base,yes
BSW,,AK97,Boswell Bay Airport,Boswell Bay,US,NA,60.4230995178,-146.145996094,small_airport,no
AKM,,AKM,Zakuoma Airport,ZaKouma,TD,AF,10.8902777778,19.8172222222,small_airport,no
ALZ,,ALZ,Alitak Seaplane Base,Lazy Bay,US,NA,56.897294,-154.249692,seaplane_base,yes
YUK,UDCK,AM-0001,Syunik Airport,Kapan,AM,AS,39.202272,46.455204,small_airport,no
AME,,AME,Alto Molocue Airport,Alto Molocue,MZ,AF,-15.6102777778,37.6813888889,small_airport,no
AMY,FMMB,AMY,Ambatomainty Airport,,MG,AF,-17.686667,45.623889,small_airport,no
INU,ANYN,ANYN,Nauru International Airport,Yaren,NR,OC,-0.547893,166.919525,medium_airport,yes
ANZ,,ANZ,Angus Downs Airport,Angus Downs Station,AU,OC,-25.0325,132.2748,small_airport,no
CTV,,AO-0001,Catoca Airport,Saurimo,AO,AF,-9.431359,20.311557,small_airport,no
ANL,,AO-0005,Andulo Airport,Andulo,AO,AF,-11.4723,16.710899,small_airport,no
CNZ,,AO-CNZ,Cangamba Airport,Cangamba,AO,AF,-13.7106,19.861099,small_airport,no
DRC,,AO-DRC,Dirico Airport,Dirico,AO,AF,-17.981924,20.768061,small_airport,no
NDF,,AO-NDF,N'dalatando Airport,N'dalatando,AO,AF,-9.280378,14.982432,small_airport,no
AOB,,AOB,Annanberg Airport,,PG,OC,-4.90416666667,144.635833333,small_airport,no
AOD,,AOD,Abou-Deïa Airport,Abou-Deïa,TD,AF,11.4773,19.2874,small_airport,no
APP,,APP,Asapa Airport,,PG,OC,-8.979167,148.103611,small_airport,no
AQY,,AQY,Girdwood-Alyeska Airport,Girdwood,US,NA,60.968774,-149.119792,small_airport,no
QRF,,AR-0005,Bragado Airport,Bragado,AR,SA,-35.145811,-60.480294,small_airport,no
CVI,,AR-0007,Caleta Olivia Airport,Caleta Olivia,AR,SA,-46.37428,-67.59409,small_airport,no
CNT,,AR-0009,Charata Airport,Charata,AR,SA,-27.2164,-61.2103,small_airport,no
VGS,,AR-0010,General Villegas Airport,General Villegas,AR,SA,-34.995728,-62.999725,small_airport,no
LMD,,AR-0011,Los Menucos Airport,Los Menucos,AR,SA,-40.817699,-68.074699,small_airport,no
VCF,,AR-0017,Valcheta Airport,Valcheta,AR,SA,-40.700001,-66.150002,small_airport,no
CPG,,AR-0390,Carmen de Patagones Airport,Carmen de Patagones,AR,SA,-40.7781,-62.9803,small_airport,no
ARP,,ARP,Aragip Airport,,PG,OC,-9.88333333333,149.483333333,small_airport,no
ASZ,,ASZ,Asirim Airport,,PG,OC,-6.009722222220001,150.368611111,small_airport,no
LYT,YLTT,AU-0081,Lady Elliot Island Airstrip,Lady Elliot Island,AU,OC,-24.1129,152.7156,small_airport,no
GYZ,YGRM,AU-0456,Gruyere Airport,Cosmo Newbery,AU,OC,-28.034548,123.81506,small_airport,yes
WSI,YSWS,AU-0539,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,AU,OC,-33.883461,150.712981,large_airport,no
AGW,,AU-AGW,Agnew Airport,Agnew,AU,OC,-12.1456,142.149369,small_airport,no
AYD,,AU-AYD,Alroy Downs Airport,Alroy Downs,AU,OC,-19.2908,136.078995,small_airport,no
BYX,,AU-BYX,Baniyala Airport,Baniyala,AU,OC,-13.1981,136.227005,small_airport,no
COB,,AU-COB,Coolibah Airport,Coolibah,AU,OC,-15.548299789428711,130.96200561523438,small_airport,no
CRJ,,AU-CRJ,Coorabie Airport,Coorabie,AU,OC,-31.894399642944336,132.29600524902344,small_airport,no
CRY,,AU-CRY,Carlton Hill Airport,Carlton Hill,AU,OC,-15.501899719238281,128.53399658203125,small_airport,no
CSD,,AU-CSD,Cresswell Downs Airport,Cresswell Downs,AU,OC,-17.947999954223633,135.91600036621094,small_airport,no
DYM,,AU-DYM,Diamantina Lakes Airport,Diamantina Lakes,AU,OC,-23.761699676513672,141.14500427246094,small_airport,no
HIS,,AU-HIS,Hayman Island Resort Seaplane Base,Hayman Island,AU,OC,-20.059999465942383,148.88099670410156,seaplane_base,yes
HLV,,AU-HLV,Helenvale Airport,Helenvale,AU,OC,-15.685799598693848,145.21499633789062,small_airport,no
KBD,YKBS,AU-KBD,Kimberley Downs Airport,Kimberley Downs,AU,OC,-17.398577,124.355565,small_airport,no
KGR,,AU-KGR,Kulgera Airport,Ghan,AU,OC,-25.8428,133.292007,small_airport,no
PEP,,AU-PEP,Peppimenarti Airport,Peppimenarti,AU,OC,-14.1442,130.091003,small_airport,no
RDA,,AU-RDA,Rockhampton Downs Airport,Rockhampton Downs,AU,OC,-18.95330047607422,135.2010040283203,small_airport,no
SSK,,AU-SSK,Sturt Creek Airport,Sturt Creek,AU,OC,-19.166400909423828,128.1739959716797,small_airport,no
SWB,,AU-SWB,Shaw River Airport,Shaw River,AU,OC,-21.510299682617188,119.36199951171875,small_airport,no
TWP,,AU-TWP,Torwood Airport,Torwood,AU,OC,-17.363300323486328,143.75,small_airport,no
ZVG,,AU-ZVG,Springvale Airport,Springvale,AU,OC,-17.7869,127.669998,small_airport,no
AWR,,AWR,Awar Airport (unusable),Awar,PG,OC,-4.122278,144.853292,small_airport,no
AXF,ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,AS,38.748317,105.58416,medium_airport,yes
AXO,,AXO,Pantar Kabir Airport,Kabir,ID,AS,-8.244832,124.219108,small_airport,no
AMF,AYAA,AYAA,Ama Airport,,PG,OC,-4.10111111111,141.67,small_airport,no
UAE,AYAE,AYAE,Mount Aue Airport,Aue,PG,OC,-6.229978,144.664181,small_airport,no
AFR,AYAF,AYAF,Afore Airstrip,Afore,PG,OC,-9.13867,148.390701,small_airport,no
AUP,AYAG,AYAG,Agaun Airport,Agaun,PG,OC,-9.927715,149.389951,small_airport,no
ATP,AYAI,AYAI,Aitape Airport,Aitape,PG,OC,-3.143611,142.346806,small_airport,no
AIH,AYAK,AYAK,Aiambak Airport,Aiambak,PG,OC,-7.342777777779999,141.2675,small_airport,no
AMU,AYAM,AYAM,Amanab Airport,Amanab,PG,OC,-3.586,141.214333333,small_airport,no
ADC,AYAN,AYAN,Andakombe Airport,Andekombe,PG,OC,-7.13722222222,145.744722222,small_airport,no
AIE,AYAO,AYAO,Aiome Airport,Aiome,PG,OC,-5.145699978,144.7307003,small_airport,no
KPM,AYAQ,AYAQ,Kompiam Airport,,PG,OC,-5.38166666667,143.924722222,small_airport,no
AUJ,AYAT,AYAT,Ambunti Airport,Ambunti,PG,OC,-4.21566666667,142.823166667,small_airport,no
AWB,AYAW,AYAW,Awaba Airport,Awaba,PG,OC,-8.013414,142.752099,small_airport,no
AEK,AYAX,AYAX,Aseki Airport,Aseki,PG,OC,-7.350805,146.193994,small_airport,no
AYU,AYAY,AYAY,Aiyura Airport,Aiyura Valley,PG,OC,-6.33805555556,145.904166667,small_airport,no
VMU,AYBA,AYBA,Baimuru Airport,Baimuru,PG,OC,-7.496955,144.821756,medium_airport,yes
BCP,AYBC,AYBC,Bambu Airport,Bambu,PG,OC,-5.863611111110001,146.4925,small_airport,no
BNM,AYBD,AYBD,Bodinumu Airport,Bodinumu,PG,OC,-9.107777777779999,147.666722222,small_airport,no
BMZ,AYBF,AYBF,Bamu Airport,Bamu,PG,OC,-7.8485,143.2433,small_airport,no
BDZ,AYBG,AYBG,Baindoung Airport,,PG,OC,-6.34722222222,146.942222222,small_airport,no
BSP,AYBH,AYBH,Bensbach Airport,Bensbach,PG,OC,-8.85805555556,141.259444444,small_airport,no
BWP,AYBI,AYBI,Bewani Airport,Bewani,PG,OC,-3.0216666666700003,141.165277778,small_airport,no
BUA,AYBK,AYBK,Buka Airport,Buka Island,PG,OC,-5.422299,154.672698,medium_airport,yes
BAA,AYBL,AYBL,Bialla Airport,"Bialla, Matalilu, Ewase",PG,OC,-5.3305602073700005,151.007995605,small_airport,no
OPU,AYBM,AYBM,Balimo Airport,Balimo,PG,OC,-8.05000019073,142.932998657,medium_airport,yes
BMH,AYBO,AYBO,Bomai Airport,Bomai,PG,OC,-6.37316666667,144.637,small_airport,no
BPD,AYBP,AYBP,Bapi Airstrip,Bapi,PG,OC,-7.743611111110001,147.020555556,small_airport,no
BPK,AYBQ,AYBQ,Biangabip Airport,Biangabip,PG,OC,-5.526389,141.744583,small_airport,no
BRP,AYBR,AYBR,Biaru Airport,Biaru,PG,OC,-7.6693,146.7594,small_airport,no
BUL,AYBU,AYBU,Bulolo Airport,Bulolo,PG,OC,-7.216286671410001,146.649541855,small_airport,no
XBN,AYBZ,AYBZ,Biniguni Airport,Biniguni,PG,OC,-9.6425,149.303889,small_airport,no
CVB,AYCB,AYCB,Chungribu Airport,Chungribu,PG,OC,-4.80662,144.714996,small_airport,no
CGC,AYCG,AYCG,Cape Gloucester Airport,Cape Gloucester,PG,OC,-5.455231,148.422289,small_airport,no
CMU,AYCH,AYCH,Chimbu Airport,Kundiawa,PG,OC,-6.024290084838867,144.9709930419922,medium_airport,yes
SQT,AYCS,AYCS,China Strait Airstrip,Samarai Island,PG,OC,-10.5627777778,150.690694444,small_airport,no
DBP,AYDB,AYDB,Debepare Airport,Debepare,PG,OC,-6.30861111111,141.905555556,small_airport,no
DER,AYDE,AYDE,Derim Airport,Derim,PG,OC,-6.14472222222,147.107222222,small_airport,no
BNT,AYDI,AYDI,Bundi Airport,Bundi,PG,OC,-5.742222222220001,145.2275,small_airport,no
MDM,AYDK,AYDK,Munduku Airport,Munduku,PG,OC,-4.6204,143.4516,small_airport,no
KPF,AYDL,AYDL,Kondobol Airport,Kondobol,PG,OC,-8.5336,142.5049,small_airport,no
DNU,AYDN,AYDN,Dinangat Airport,Dinangat,PG,OC,-6.1546,146.6772,small_airport,no
DOI,AYDO,AYDO,Doini Airport,Castori Islets,PG,OC,-10.7009,150.7218,small_airport,no
DOO,AYDR,AYDR,Dorobisoro Airport,Dorobisoro,PG,OC,-9.461855,147.920907,small_airport,no
DAU,AYDU,AYDU,Daru Airport,Daru,PG,OC,-9.08676,143.207993,medium_airport,yes
KRU,AYEA,AYEA,Kerau Airport,Gunim,PG,OC,-8.271612,147.071899,small_airport,no
EMS,AYEB,AYEB,Embessa Airport,Embessa,PG,OC,-9.447,148.7628,small_airport,no
XYR,AYED,AYED,Edwaki Airport,Yellow River Mission,PG,OC,-3.883986,141.792234,small_airport,no
EMI,AYEE,AYEE,Emirau Airport,Emirau Island,PG,OC,-1.653949991,149.9757667,small_airport,no
EFG,AYEF,AYEF,Efogi Airport,Efogi,PG,OC,-9.15380555556,147.659805556,small_airport,no
MHY,AYEH,AYEH,Morehead Airport,Morehead,PG,OC,-8.71411111111,141.644444444,small_airport,no
EPT,AYEL,AYEL,Eliptamin Airport,Eliptamin,PG,OC,-5.0412,141.6779,small_airport,no
EGA,AYEN,AYEN,Engati Airstrip,Engati,PG,OC,-6.9179,146.1053,small_airport,no
EMO,AYEO,AYEO,Emo River Airstrip,Emo Mission,PG,OC,-9.1234,148.0415,small_airport,no
ERU,AYER,AYER,Erume Airport,Erume,PG,OC,-8.2538,146.9747,small_airport,no
MFZ,AYES,AYES,Meselia Airport,Demgulu,PG,OC,-6.1364,149.1183,small_airport,no
BOT,AYET,AYET,Bosset Airport,Bosset,PG,OC,-7.237257,141.1063222,small_airport,yes
ERE,AYEV,AYEV,Erave Airport,Erave,PG,OC,-6.60646315446,143.900213242,small_airport,no
SWE,AYEW,AYEW,Siwea Airport,Siwea,PG,OC,-6.284181,147.582371,small_airport,no
FNE,AYFA,AYFA,Fane Airport,Fane Mission,PG,OC,-8.54927777778,147.085833333,small_airport,no
FRQ,,AYFE,Feramin Airport,Feramin,PG,OC,-5.208,141.6988,small_airport,no
FIN,AYFI,AYFI,Finschhafen Airport,Buki,PG,OC,-6.621750109,147.85405,small_airport,no
FAQ,AYFR,AYFR,Frieda River Airport,Frieda River,PG,OC,-4.610468,141.960138,small_airport,no
FUM,AYFU,AYFU,Fuma Airport,Fuma,PG,OC,-6.3933,142.4408,small_airport,no
GKA,AYGA,AYGA,Goroka Airport,Goronka,PG,OC,-6.081689834590001,145.391998291,medium_airport,yes
GEW,AYGC,AYGC,Gewoia Airport,Gewoia,PG,OC,-9.2263,148.4949,small_airport,no
GUG,AYGF,AYGF,Guari Airport,Guari,PG,OC,-8.1286,146.8722,small_airport,no
GRL,AYGG,AYGG,Garasa Airport,Au,PG,OC,-7.980713,147.213461,small_airport,no
GAR,AYGI,AYGI,Garaina Airport,Garaina,PG,OC,-7.875625,147.141266,small_airport,no
GAZ,AYGJ,AYGJ,Guasopa Airport,Woodlark (Muyua) Island,PG,OC,-9.225918,152.944352,small_airport,no
GOE,AYGL,AYGL,Gonaili Airport,Gonaili,PG,OC,-5.527716614,151.5733333,small_airport,no
GUR,AYGN,AYGN,Gurney Airport,Gurney,PG,OC,-10.3114995956,150.333999634,medium_airport,yes
GAP,AYGP,AYGP,Gusap Airport,Gusap,PG,OC,-6.053196,145.959047,small_airport,no
PNP,AYGR,AYGR,Girua Airport,Popondetta,PG,OC,-8.80453968048,148.309005737,medium_airport,yes
GBC,AYGS,AYGS,Gasuke Airport,Gasuke,PG,OC,-6.1028,141.7393,small_airport,no
GMI,AYGT,AYGT,Gasmata Island Airport,Gasmata Island,PG,OC,-6.27111005783,150.330993652,small_airport,yes
AKG,AYGU,AYGU,Anguganak Airport,Anguganak,PG,OC,-3.560504,142.217307,small_airport,no
GVI,AYGV,AYGV,Green River Airport,Green River,PG,OC,-3.9022428989400004,141.170516968,small_airport,no
GOC,AYGX,AYGX,Gora Airstrip,Gora,PG,OC,-9.0021,148.2364,small_airport,no
HBD,AYHB,AYHB,Habi Airport,Habi,PG,OC,-6.32,142.4893,small_airport,no
HNI,AYHE,AYHE,Heiweni Airport,Heiweni,PG,OC,-7.4223,146.4276,small_airport,no
HYF,AYHF,AYHF,Hayfields Airport,Bainyik,PG,OC,-3.69838,143.057902,small_airport,no
HNN,AYHH,AYHH,Honinabi Airport,Honinabi,PG,OC,-6.2457,142.1771,small_airport,no
HKN,AYHK,AYHK,Hoskins Airport,Kimbe,PG,OC,-5.463846,150.407327,medium_airport,yes
HIT,AYHO,AYHO,Haivaro Airport,Haivaro,PG,OC,-6.9406,143.059,small_airport,no
