iata_code,icao_code,ident,name,municipality,iso_country,continent,latitude_deg,longitude_deg,type,scheduled_service
MRW,EKMB,EKMB,Lolland Falster Maribo Airport,Rødby,DK,EU,54.699447,11.438163,medium_airport,no
ODE,EKOD,EKOD,Odense Hans Christian Andersen Airport,Odense,DK,EU,55.475307,10.327206,large_airport,yes
RKE,EKRK,EKRK,Copenhagen Roskilde Airport,Roskilde,DK,EU,55.585602,12.1314,medium_airport,yes
RNN,EKRN,EKRN,Bornholm Airport,Rønne,DK,EU,55.063301,14.7596,medium_airport,yes
SGD,EKSB,EKSB,Sønderborg Airport,Sønderborg,DK,EU,54.96440124511719,9.791729927062988,medium_airport,yes
CNL,EKSN,EKSN,Sindal Airport,Sindal,DK,EU,57.503502,10.2294,medium_airport,no
SKS,EKSP,EKSP,Skrydstrup Air Base,Vojens,DK,EU,55.221048,9.26702,medium_airport,no
SQW,EKSV,EKSV,Skive Airport,Skive,DK,EU,56.550201,9.17298,medium_airport,no
TED,EKTS,EKTS,Thisted Airport,Thisted,DK,EU,57.068802,8.70522,medium_airport,no
FAE,EKVG,EKVG,Vágar Airport,Vágar,FO,EU,62.063256,-7.275782,large_airport,yes
STA,EKVJ,EKVJ,Stauning Vestjylland  Airport,Skjern,DK,EU,55.990101,8.35391,medium_airport,no
AAL,EKYT,EKYT,Aalborg Airport,Aalborg,DK,EU,57.094763,9.84993,large_airport,yes
LUX,ELLX,ELLX,Luxembourg-Findel International Airport,Luxembourg,LU,EU,49.626845,6.212134,large_airport,yes
EMR,,EMR,El Mirador Heliport,El Mirador,GT,NA,17.752077,-89.924916,heliport,no
AES,ENAL,ENAL,Ålesund Airport,Ålesund,NO,EU,62.560443,6.110845,large_airport,yes
ANX,ENAN,ENAN,"Andøya Airport, Andenes",Andenes,NO,EU,69.295193,16.139379,medium_airport,yes
ALF,ENAT,ENAT,Alta Airport,Alta,NO,EU,69.976097,23.3717,medium_airport,yes
FDE,ENBL,ENBL,"Førde Airport, Bringeland",Førde,NO,EU,61.391102,5.75694,small_airport,yes
BNN,ENBN,ENBN,"Brønnøysund Airport, Brønnøy",Brønnøy,NO,EU,65.461098,12.2175,medium_airport,yes
BOO,ENBO,ENBO,Bodø Airport,Bodø,NO,EU,67.269203,14.3653,large_airport,yes
BGO,ENBR,ENBR,"Bergen Airport, Flesland",Bergen,NO,EU,60.2934,5.21814,large_airport,yes
BJF,ENBS,ENBS,Båtsfjord Airport,Båtsfjord,NO,EU,70.60025,29.692612,medium_airport,yes
BVG,ENBV,ENBV,Berlevåg Airport,Berlevåg,NO,EU,70.871517,29.034097,medium_airport,yes
KRS,ENCN,ENCN,Kristiansand Airport,Kristiansand(Kjevik),NO,EU,58.204201,8.08537,large_airport,yes
BDU,ENDU,ENDU,Bardufoss Airport,Målselv,NO,EU,69.055801,18.5404,medium_airport,yes
EVE,ENEV,ENEV,Harstad/Narvik Airport,Evenes,NO,EU,68.491302,16.678101,large_airport,yes
FRO,ENFL,ENFL,Florø Airport,Florø,NO,EU,61.583599090576,5.0247201919556,medium_airport,yes
OSL,ENGM,ENGM,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,EU,60.193901,11.1004,large_airport,yes
HMR,ENHA,ENHA,"Hamar Lufthavn, Stavsberg",Hamar,NO,EU,60.8181,11.068,small_airport,no
HAU,ENHD,ENHD,"Haugesund Airport, Karmøy",Karmøy,NO,EU,59.345299,5.20836,medium_airport,yes
HFT,ENHF,ENHF,Hammerfest Airport,Hammerfest,NO,EU,70.679703,23.6686,medium_airport,yes
HAA,ENHK,ENHK,Hasvik Airport,Hasvik,NO,EU,70.486702,22.1397,small_airport,yes
HVG,ENHV,ENHV,"Honningsvåg Airport, Valan",Honningsvåg,NO,EU,71.009697,25.983601,medium_airport,yes
KSU,ENKB,ENKB,"Kristiansund Airport, Kvernberget",Kvernberget,NO,EU,63.111801,7.82452,medium_airport,yes
GLL,ENKL,ENKL,Gol Airport,Klanten flyplass,NO,EU,60.791066,9.048672,small_airport,no
KKN,ENKR,ENKR,"Kirkenes Airport, Høybuktmoen",Kirkenes,NO,EU,69.7258,29.8913,medium_airport,yes
LKN,ENLK,ENLK,Leknes Airport,Leknes,NO,EU,68.152496337891,13.609399795532,medium_airport,yes
MEH,ENMH,ENMH,Mehamn Airport,Mehamn,NO,EU,71.029701,27.8267,medium_airport,yes
MOL,ENML,ENML,"Molde Airport, Årø",Årø,NO,EU,62.744701,7.2625,medium_airport,yes
MJF,ENMS,ENMS,"Mosjøen Airport, Kjærstad",Mosjøen,NO,EU,65.783997,13.2149,medium_airport,yes
LKL,ENNA,ENNA,"Lakselv Airport, Banak",Lakselv,NO,EU,70.068802,24.973499,medium_airport,yes
OSY,ENNM,ENNM,Namsos Airport,Namsos,NO,EU,64.472198,11.5786,small_airport,yes
NTB,ENNO,ENNO,Notodden Airport,Notodden,NO,EU,59.565071,9.213152,medium_airport,no
OLA,ENOL,ENOL,Ørland Airport,Ørland,NO,EU,63.69889831542969,9.604000091552734,medium_airport,yes
HOV,ENOV,ENOV,"Ørsta-Volda Airport, Hovden",Ørsta,NO,EU,62.180000305176,6.0741000175476,medium_airport,yes
MQN,ENRA,ENRA,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,EU,66.363899230957,14.301400184631,medium_airport,yes
RVK,ENRM,ENRM,"Rørvik Airport, Ryum",Rørvik,NO,EU,64.838302612305,11.14610004425,medium_airport,yes
RRS,ENRO,ENRO,Røros Airport,Røros,NO,EU,62.578399658203,11.342300415039,medium_airport,yes
RET,ENRS,ENRS,Røst Airport,Røst,NO,EU,67.526482,12.101575,small_airport,yes
LYR,ENSB,ENSB,"Svalbard Airport, Longyear",Longyearbyen,NO,EU,78.246101,15.4656,medium_airport,yes
SDN,ENSD,ENSD,"Sandane Airport, Anda",Sandane,NO,EU,61.830002,6.10583,small_airport,yes
SOG,ENSG,ENSG,"Sogndal Airport, Haukåsen",Sogndal,NO,EU,61.156101,7.13778,small_airport,yes
SVJ,ENSH,ENSH,"Svolvær Airport, Helle",Svolvær,NO,EU,68.243301,14.6692,medium_airport,yes
SKN,ENSK,ENSK,"Stokmarknes Airport, Skagen",Hadsel,NO,EU,68.578827,15.033417,medium_airport,yes
SRP,ENSO,ENSO,"Stord Airport, Sørstokken",Leirvik,NO,EU,59.791901,5.34085,medium_airport,yes
SOJ,ENSR,ENSR,Sørkjosen Airport,Sørkjosen,NO,EU,69.786797,20.9594,medium_airport,yes
VAW,ENSS,ENSS,"Vardø Airport, Svartnes",Vardø,NO,EU,70.3554,31.044901,medium_airport,yes
SSJ,ENST,ENST,"Sandnessjøen Airport, Stokka",Alstahaug,NO,EU,65.956802,12.4689,medium_airport,yes
TOS,ENTC,ENTC,Tromsø Airport,Tromsø,NO,EU,69.683296,18.9189,large_airport,yes
TRF,ENTO,ENTO,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,EU,59.186699,10.2586,large_airport,yes
TRD,ENVA,ENVA,"Trondheim Airport, Værnes",Trondheim,NO,EU,63.457802,10.924,large_airport,yes
VDS,ENVD,ENVD,Vadsø Airport,Vadsø,NO,EU,70.0653,29.8447,medium_airport,yes
VRY,,ENVR,Værøy Heliport,Værøy,NO,EU,67.654555,12.727257,heliport,yes
SVG,ENZV,ENZV,"Stavanger Airport, Sola",Stavanger,NO,EU,58.876701,5.63778,large_airport,yes
BZG,EPBY,EPBY,Ignacy Jan Paderewski Bydgoszcz Airport,Bydgoszcz,PL,EU,53.096802,17.977699,medium_airport,yes
GDN,EPGD,EPGD,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,EU,54.377602,18.4662,large_airport,yes
KRK,EPKK,EPKK,Kraków John Paul II International Airport,Balice,PL,EU,50.077702,19.7848,large_airport,yes
KTW,EPKT,EPKT,Katowice Wojciech Korfanty International Airport,Katowice,PL,EU,50.476015,19.080705,large_airport,yes
LUZ,EPLB,EPLB,Lublin Airport,Lublin,PL,EU,51.240157,22.713461,large_airport,yes
LCJ,EPLL,EPLL,Łódź Władysław Reymont Airport,Łódź,PL,EU,51.721901,19.3981,large_airport,yes
WMI,EPMO,EPMO,Warsaw Modlin Airport,Nowy Dwór Mazowiecki,PL,EU,52.451099,20.6518,large_airport,yes
POZ,EPPO,EPPO,Poznań-Ławica Airport,Poznań,PL,EU,52.421598,16.823359,large_airport,yes
RDO,EPRA,EPRA,Warsaw Radom Airport,Radom,PL,EU,51.38937,21.214742,medium_airport,yes
RZE,EPRZ,EPRZ,Rzeszów-Jasionka Airport,Jasionka,PL,EU,50.109791,22.024155,large_airport,yes
SZZ,EPSC,EPSC,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),PL,EU,53.584702,14.9022,large_airport,yes
SZY,EPSY,EPSY,Olsztyn-Mazury Airport,Szymany,PL,EU,53.481899,20.9377,medium_airport,yes
WAW,EPWA,EPWA,Warsaw Chopin Airport,Warsaw,PL,EU,52.165699,20.9671,large_airport,yes
WRO,EPWR,EPWR,Copernicus Wrocław Airport,Wrocław,PL,EU,51.103719,16.882096,large_airport,yes
IEG,EPZG,EPZG,Zielona Góra-Babimost Airport,Nowe Kramsko,PL,EU,52.1385,15.7986,medium_airport,yes
ERT,,ERT,Erdenet Airport,Erdenet,MN,AS,48.983056,104.150556,small_airport,no
RNB,ESDF,ESDF,Ronneby Airport,Ronneby,SE,EU,56.266701,15.265,medium_airport,yes
GOT,ESGG,ESGG,Göteborg Landvetter Airport,Göteborg,SE,EU,57.6628,12.2798,large_airport,yes
JKG,ESGJ,ESGJ,Jönköping Airport,Jönköping,SE,EU,57.757598876953125,14.068699836730957,medium_airport,yes
LDK,ESGL,ESGL,Lidköping-Hovby Airport,Lidköping,SE,EU,58.4655,13.1744,small_airport,no
GSE,ESGP,ESGP,Säve Airport,Göteborg,SE,EU,57.7747,11.8704,medium_airport,no
KVB,ESGR,ESGR,Skövde Airport,Skövde,SE,EU,58.456402,13.9727,medium_airport,no
THN,ESGT,ESGT,Trollhättan-Vänersborg Airport,Trollhättan,SE,EU,58.31809997558594,12.345000267028809,medium_airport,yes
KSK,ESKK,ESKK,Karlskoga Airport,Karlskoga,SE,EU,59.345901,14.4959,medium_airport,no
MXX,ESKM,ESKM,Mora Airport,Mora,SE,EU,60.957901,14.5114,medium_airport,yes
NYO,ESKN,ESKN,Stockholm Skavsta Airport,Nyköping,SE,EU,58.789656,16.911479,large_airport,yes
SCR,ESKS,ESKS,Scandinavian Mountains Airport,Malung-Sälen,SE,EU,61.16508,12.83352,large_airport,yes
KID,ESMK,ESMK,Kristianstad Airport,Kristianstad,SE,EU,55.9217,14.0855,medium_airport,no
OSK,ESMO,ESMO,Oskarshamn Airport,Oskarshamn,SE,EU,57.350498,16.497999,small_airport,no
KLR,ESMQ,ESMQ,Kalmar Airport,Kalmar,SE,EU,56.685501,16.2876,medium_airport,yes
MMX,ESMS,ESMS,Malmö Sturup Airport,Malmö,SE,EU,55.535564,13.376327,large_airport,yes
HAD,ESMT,ESMT,Halmstad Airport,Halmstad,SE,EU,56.69110107421875,12.820199966430664,medium_airport,yes
VXO,ESMX,ESMX,Växjö Kronoberg Airport,Växjö,SE,EU,56.929100036621094,14.727999687194824,medium_airport,yes
EVG,ESND,ESND,Sveg Airport,Sveg,SE,EU,62.047798,14.4229,small_airport,yes
GEV,ESNG,ESNG,Gällivare Airport,Gällivare,SE,EU,67.13240051269531,20.814599990844727,medium_airport,yes
KRF,ESNK,ESNK,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,EU,63.048599,17.7689,medium_airport,yes
LYC,ESNL,ESNL,Lycksele Airport,Lycksele,SE,EU,64.548302,18.7162,medium_airport,yes
SDL,ESNN,ESNN,Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE,EU,62.528099060058594,17.443899154663086,medium_airport,yes
OER,ESNO,ESNO,Örnsköldsvik Airport,Örnsköldsvik,SE,EU,63.40829849243164,18.989999771118164,medium_airport,yes
KRN,ESNQ,ESNQ,Kiruna Airport,Kiruna,SE,EU,67.821999,20.3368,large_airport,yes
SFT,ESNS,ESNS,Skellefteå Airport,Skellefteå,SE,EU,64.62480163574219,21.076900482177734,medium_airport,yes
UME,ESNU,ESNU,Umeå Airport,Umeå,SE,EU,63.791801,20.282801,large_airport,yes
